user,cq_id,description,sparql,result_count,sample,verdict,notes
User 4,CQ2,Which motifs are characteristic of a particular aesthetic?,"SELECT ?motifLabel
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasMember ?motif .
  ?motif a ae-ont:Motif ;
         rdfs:label ?motifLabel .
  FILTER(str(?aestheticName) = ""Gothic"")
}
ORDER BY ?motifLabel",0,,NO RESULTS,
User 4,CQ3,Which brands are associated with a given aesthetic?,"SELECT ?brandLabel
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasRelatedBrand ?brand .
  ?brand rdfs:label ?brandLabel .
  FILTER(str(?aestheticName) = ""Preppy"")
}
ORDER BY ?brandLabel",7,Brooks Brothers | J. Crew | Lacoste,ANSWERABLE,
User 4,CQ4,Which aesthetics are visually or stylistically related to a given one?,"SELECT ?relatedName ?relationType
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName .
  FILTER(str(?aestheticName) = ""Cottagecore"")
  {
    ?aesthetic ae-ont:relatedTo ?related .
    BIND(""relatedTo"" AS ?relationType)
  } UNION {
    ?aesthetic ae-ont:overlapsWith ?related .
    BIND(""overlapsWith"" AS ?relationType)
  } UNION {
    ?aesthetic ae-ont:hasSubgenre ?related .
    BIND(""hasSubgenre"" AS ?relationType)
  }
  ?related ae-ont:name ?relatedName .
}
ORDER BY ?relationType ?relatedName",0,,NO RESULTS,
User 5,CQ1,Which aesthetics are subgenres of a given aesthetic?,"SELECT ?subgenreName
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasSubgenre ?sub .
  ?sub ae-ont:name ?subgenreName .
  FILTER(str(?aestheticName) = ""Punk"")
}
ORDER BY ?subgenreName",16,2 Tone | Afropunk | Anarcho-Punk,ANSWERABLE,
User 5,CQ2,Which aesthetics have influenced a given aesthetic? (via ae-ont:follows = was preceded by),"SELECT ?influencerName
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?n .
  FILTER(str(?n) = ""DIY Punk"")
  ?aesthetic ae-ont:follows ?influencer .
  ?influencer ae-ont:name ?influencerName .
}",1,Punk,PARTIAL,ae-ont:follows maps box__preceded_by; A follows B = B influenced A. Example: DIY Punk follows Punk.
User 5,CQ3,Which aesthetics are related to a given one and share at least one value?,"SELECT DISTINCT ?relatedName ?relationType
WHERE {
  ?source a ae-ont:Aesthetic ;
          ae-ont:name ?sourceName .
  FILTER(str(?sourceName) = ""Memphis Lite"")
  {
    ?source ae-ont:hasSubgenre ?related .
    BIND(""subgenre"" AS ?relationType)
  } UNION {
    ?source ae-ont:follows ?related .
    BIND(""follows"" AS ?relationType)
  } UNION {
    ?source ae-ont:overlapsWith ?related .
    BIND(""overlapsWith"" AS ?relationType)
  } UNION {
    ?source ae-ont:hasMember ?v .
    ?v a ae-ont:Value .
    ?related ae-ont:hasMember ?v .
    ?related a ae-ont:Aesthetic .
    FILTER(?related != ?source)
    BIND(""sharedValue"" AS ?relationType)
  }
  ?related ae-ont:name ?relatedName .
}
ORDER BY ?relationType",0,,NO RESULTS,
User 6,CQ1,Which aesthetics have the highest number of sub-aesthetics or derivative movements?,"SELECT ?aestheticName (COUNT(?sub) AS ?subCount)
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasSubgenre ?sub .
}
GROUP BY ?aestheticName
ORDER BY DESC(?subCount)
LIMIT 20",20,"Punk, 16 | Metalhead, 13 | Goth, 11",ANSWERABLE,
User 6,CQ2,Which aesthetics have the longest chain of influence (precedes+)?,"SELECT ?aestheticName (COUNT(DISTINCT ?descendant) AS ?chainLength)
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName .
  ?aesthetic ae-ont:precedes+ ?descendant .
}
GROUP BY ?aestheticName
ORDER BY DESC(?chainLength)
LIMIT 10",10,"Italian Renaissance, 51 | Baroque, 50 | Chinoiserie, 49",ANSWERABLE,
User 6,CQ3,Which aesthetics share fashion-related motifs as defining elements?,"SELECT DISTINCT ?aestheticName ?motifLabel
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasMember ?motif .
  ?motif a ae-ont:Motif ;
         rdfs:label ?motifLabel .
  FILTER(
    CONTAINS(LCASE(str(?motifLabel)), ""dress"")  ||
    CONTAINS(LCASE(str(?motifLabel)), ""clothing"") ||
    CONTAINS(LCASE(str(?motifLabel)), ""outfit"")  ||
    CONTAINS(LCASE(str(?motifLabel)), ""jacket"")  ||
    CONTAINS(LCASE(str(?motifLabel)), ""boots"")   ||
    CONTAINS(LCASE(str(?motifLabel)), ""skirt"")   ||
    CONTAINS(LCASE(str(?motifLabel)), ""jeans"")
  )
}
ORDER BY ?aestheticName
LIMIT 40",0,,NO RESULTS,
User 6,CQ4,Which aesthetic has the highest number of associated brands?,"SELECT ?aestheticName (COUNT(DISTINCT ?brand) AS ?brandCount)
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasRelatedBrand ?brand .
}
GROUP BY ?aestheticName
ORDER BY DESC(?brandCount)
LIMIT 20",20,"Hip-Hop, 21 | Guochao, 19 | Ultras, 17",ANSWERABLE,No causal 'influence' data; query returns brand association count as proxy.
